Tagba,Français,,,,
bǎ,ballon,,,,
bâd,empêcher,,,,
bádáféw,jamais,,,,
bà̰.jí.ŋɛ,vin de palme,,,,
bàlɛ́,sans,,,,
bán,finir,,,,
bât,fabriquer,,,,
bǎt,causérie,,,,
bàt.bɩ̀,banane,,,,
bə̂,pois de terre,,,,
bə́d,esclave,,,,
bə̌d,bile,,,,
bə̀t,couler,,,,
bɛ̀t.mɛ́,être fort,,,,
bí,farine,,,,
bɩ́,petit,,,,
bɩ́d,ramasser,,,,
bɩ̀d,"respecter, obéir",,,,
bɩ̌d,puits,,,,
bɩ̀.dà,finalement,,,,
bɩ̀lɩ̀,"être épais, être lourd",,,,
bɩ̂t,surprendre,,,,
bǒb,muet,,,,
bòg.nàt.té,gecko,,,,
bɔ̌t,restreindre,,,,
bǔd,araignée,,,,
bǔn,terrasse aérienne,,,,
cá,être rapide,,,,
cá,Auxiliaire de prédication,,,,
cǎ,enfant,,,,
cǎ̰,marché,,,,
cá.câd,truie,,,,
càd,"aplatir, écarter",,,,
câd,"porc, cochon",,,,
cǎd,haricot,,,,
cǎk,chercher,,,,
cǎn,jour,,,,
cǎ̰t,panthère,,,,
cà.wɛ̌t,odeur forte,,,,
cə̌d,faire sècher,,,,
cə̀t,décortiquer,,,,
cé,faire,,,,
cě,noix,,,,
cě,frémir,,,,
cê,oeuf,,,,
cê,refuser,,,,
cê,corps,,,,
cèd,chanter,,,,
cêd,femme,,,,
céd.cɛ̰̌,crocodile,,,,
cé.děn,femme,,,,
cêg,"insulter, faire blesser",,,,
cěk,rire,,,,
cêt,découper,,,,
cɛ̰́,"savoir, connaître",,,,
cɛ̰̌,sauce,,,,
cɛ̰̌,"bien, générosité",,,,
cɛ̰̌,lion,,,,
cɛ̰̀mɛ́,parfait,,,,
cɛ̀t,petit,,,,
cɛ̰̂t,jaillir,,,,
cɛ̌t,petitesse,,,,
cî,comportement,,,,
cî,cuisse,,,,
cì.cɛ̌,bienfaiteur,,,,
cìcì,petit,,,,
cǐd,potier,,,,
cè.pót,fiancée,,,,
cì.pót,fraternité,,,,
cít,rencontrer,,,,
cì.wá̰,arbre de bas-fond,,,,
cì.wǎd,séparation des cuisines,,,,
cì.yé,enfant d'une même année,,,,
cɩ̌,calebasse,,,,
cɩ̀d,étaler,,,,
cɩ̀g,renverser,,,,
cɩ̂t,croiser,,,,
cɩ̀t,éternuer,,,,
cɩ̌t,s'évanouir,,,,
cô,"femme, épouse",,,,
còt,étrangler,,,,
có.tí,petit canari,,,,
cɔ̌,cueillir,,,,
cɔ̌d,frère,,,,
cɔ̌k,maigrir,,,,
cɔ̌g,profondeur,,,,
cɔ̌k,maigreur,,,,
cɔ̰̀.sǒg,préparation du couscous,,,,
cɔ́t,planter,,,,
cɔ̰́t,choix,,,,
cɔ̰̀t,"enfoncer, embarrasser",,,,
cɔ̂t,incliner,,,,
cɔ̰̂t,choisir,,,,
cɔ̰̌t,étau,,,,
cúd,bercer,,,,
cǔd,rôter,,,,
cǔd,"guérir, se rétablir",,,,
cʋ̌,"marmite en fer, canari",,,,
cʋ̌,attraper,,,,
cʋ́d,éclairer,,,,
dá̰,"douceur, doux",,,,
dǎ̰,paniers,,,,
dád,tenir légèrement,,,,
dák,croire,,,,
dǎn,"tambour, tam-tam",,,,
dà.sǎd,éphémère,,,,
dà.sɛ̰̌,mauvaises paroles,,,,
dá.sɔ̌n,C crapaud,,,,
dà.sûd,C éléphant,,,,
də̌,hérisson,,,,
dɛ̌,"ancien, vieux",,,,
dɩ̌t,remboursement,,,,
dɩ̌t,rembourser,,,,
dò.kɔ̌d,canard,,,,
dò.pɛ̰̌,odeur puante,,,,
dò.pɔ́n,"vautour, charognard",,,,
dǒt,depassement,,,,
dó.zǎ,reine des termites,,,,
dɔ̌,pilon,,,,
dɔ̀g.pì.yâ,mouton,,,,
dù.jàn,mal de poitrine,,,,
dǔn,poitrine,,,,
fɛ̰̀,fleurir,,,,
fá,pierre,,,,
fǎd,"s'épaissir, s'élargir",,,,
fǎ,douter,,,,
fá̰k,pouvoir,,,,
fád,"salut, merci",,,,
fád,cultiver,,,,
fád,culture,,,,
fàd,changer,,,,
fǎd,handicapé,,,,
fǎd,tromper,,,,
fǎd,"largeur, épaisseur",,,,
fá̰k,force,,,,
fát,être rapide,,,,
fâ̰t,construire,,,,
fə́d,s'approcher,,,,
fə̌d,natte,,,,
fé,courir,,,,
fê,bas ventre,,,,
fêt,uriner,,,,
fêt,urine,,,,
fɛ̰́,blancheur,,,,
fɛ̰́,fleurir,,,,
fɛ̀d,diluer,,,,
fɛ̀ʔɛ̀,être léger,,,,
fɛ̀ʔɛ̌,rapide,,,,
fɛ̌k,tranquille,,,,
fɛ́t,appuyer,,,,
fɛ̂t,coincer,,,,
fǐ,python,,,,
fíd,damer,,,,
fìʔá,avoir peur,,,,
fìʔɛ́,aveugle,,,,
fǐk,taire,,,,
fǐk,poisson,,,,
fín,annuler,,,,
fɩ́k,boucles d'oreilles,,,,
fɩ́.kǎn,aile,,,,
fɩ̀lá.kǎ̰,plante,,,,
fɩ̂n,mensonge,,,,
fɩ̌n,pus,,,,
fɩ̀ná,blanchir,,,,
fɩ̌t,percer,,,,
fɩ̌t,van,,,,
fɛ̰́k,sexe masculin,,,,
fó,surprendre,,,,
fô,crédit,,,,
fô,dépouiller,,,,
fǒ,N,,,,
fǒg,éteindre,,,,
fǒn,forge,,,,
fót,sortir,,,,
fɔ̂,souffler,,,,
fɔ̂,griller,,,,
fɔ̂,"vanner, gonfler",,,,
fɔ̰̌,"nouveauté, nouveau",,,,
fɔ̌d,propriétaire,,,,
fɔ̰̌g,gousse d'arachide,,,,
fɔ̰̌k,pourrir,,,,
fɔ̂t,surveiller de près,,,,
fú,salutation,,,,
fû,éclater,,,,
fǔ,sueur,,,,
fùbàβɛ́,au-dessus de,,,,
fǔd,pousser,,,,
fù.gǔ,estomac,,,,
fù.mɔ̀n,faire ses besoins,,,,
fùn,"suer, transpirer",,,,
fùn,pauvrété,,,,
fûn,"échouer, manquer",,,,
fǔn,intérieur,,,,
fǔ,détester,,,,
fùn.ná,morve,,,,
fùn.nǎ,nez,,,,
fùn.pɛ̌,tristesse,,,,
fùntǎ̰,joie,,,,
fʋ̀n,sentir,,,,
fʋ̌t,"enlever la peau, les poils",,,,
gá,maison,,,,
gá,vestibule,,,,
gà,boire,,,,
gâ,boisson,,,,
gǎ,front,,,,
gà̰.gǎ̰,piège traditionnel,,,,
gà.ɲɔ̌,entrée du village,,,,
gà.sɔ̰̌,chambre à coucher,,,,
gàt,accepter,,,,
gàt,associer,,,,
gǎt,porte en bois,,,,
gàt.fá,fusil,,,,
gèd,blesser,,,,
gěg,"arranger, réparer",,,,
gè.gě,utiliser,,,,
gɛ̌t,porte,,,,
gíd.wá,natte de rônier,,,,
gó,V,,,,
gó,"grosseur, gros",,,,
gǒ,tuer,,,,
gô,tam-tam,,,,
gò.gǒ,rassemblement,,,,
gɔ̰̀,"frapper, battre",,,,
gɔ̌,grenier,,,,
gɔ̰̂,funérailles,,,,
gɔ̰̀.jí,responsable du grenier,,,,
gɔ́k,célèbre,,,,
gún,cadavre,,,,
gʋ̀.gʋ̀,réunir,,,,
gbɛ́jɛ́ɣɛ́,vingt,,,,
gbɛ́jɛ́ɣɛ́,trente,,,,
gbɛ́rɩ́sɩ̀cɛ̀rɛ̀,neuf,,,,
gbɛ́rɩ́sɔ̀n,quarante,,,,
gbɛ́rɩ́sɔ́nnɩ̀,sept,,,,
gbɛ́rɩ́táánrɩ̀,huit,,,,
gbɛ́rò,six,,,,
jǎ,vaincre,,,,
jâ,casser,,,,
jǎ,fils,,,,
jǎ,pouvoir,,,,
jǎd,haricot,,,,
já.fɔ̌d,maître,,,,
jág,cassure,,,,
jǎd,petit haricot,,,,
jǎn,"mal, maladie",,,,
jàt,"se baisser, se courber",,,,
jât,cri,,,,
já.tɔ̌,toit,,,,
jé,travailler,,,,
jé,Déic,,,,
jě,laver,,,,
jê,entrer,,,,
jêd,demander,,,,
jêd,demande,,,,
jét,sein,,,,
jêt,langue,,,,
jɛ̌,bon,,,,
jɛ̀rɩ̀,quelque,,,,
jí,Déic,,,,
jîd,traverser,,,,
jì.fǔn,potasse,,,,
jí.ná,génie,,,,
jís,hanche,,,,
jǐz,"scarifications,	 fil	de coton",,,,
jɩ̌g,balafon,,,,
jét.,géniteur,,,,
jǒ,"avaler, picorer",,,,
jǒ,parler,,,,
jòŋɛ́,qui,,,,
jɔ̀,préoccuper,,,,
jɔ̂,paresse,,,,
jɔ̌d,coudre,,,,
jɔ̀g,aiguiser,,,,
jǔ,parleur,,,,
jǔ,parole,,,,
jù.gó,insensée,,,,
jù.kɔ̀t.pí,lièvre,,,,
júnín,monde,,,,
jʋ̌,"testicule, verge",,,,
ká,viande,,,,
kà,"manger de la viande, de la salade, de la galette",,,,
kǎ,chose,,,,
kǎ,"rôtir, frire",,,,
kâ̰,donner,,,,
kà.tànmǎn,ancien endroit inhabité,,,,
kà.bà,nuage,,,,
ká̰bélébá,gentleman,,,,
kà.bɩ̌nɛ,"cauris, argent",,,,
kà.bû,bras,,,,
ká.cǎ,surveiller,,,,
ká.cǎ,surveillance,,,,
ká.cě,fait,,,,
ká.cɛ̰́,"savoir, connaissance",,,,
ká.cɛ̌,bienfait,,,,
ká.cɛ̰̀.fɔ̌d,devin,,,,
ká.cǒ,souris,,,,
kà.có.sɩ̀.cɔ̂n,musaraigne,,,,
kà.cɔ̌,étable,,,,
kád,détruire,,,,
kád,destruction,,,,
kàd,lire,,,,
kà̰,manche,,,,
ká̰d,manière,,,,
kâd,aisselle,,,,
kǎd,sorgho,,,,
kǎk,"souffrir, faire chaud",,,,
kǎd,souffrance,,,,
ká̰.dǎ,main droite,,,,
kà.dɛ́,chose,,,,
kàfán,N,,,,
kà.fǐk,air,,,,
kà.fǔ,chaleur,,,,
ká.gɔ̰̂,foyer,,,,
kà.gbù.tɩ́,arbre tueur,,,,
kàjá,même si,,,,
kà.jé,bois,,,,
kǎk,"faire souffrir, maltraiter",,,,
kǎ̰k,sans seins,,,,
kǎ̰k,village,,,,
kǎ̰k,fatigue,,,,
kà̰k.bàlɛ́,infatigable,,,,
kà.kɛ̰̂d,margouillat,,,,
kà.kɛ̰̀zé,noix de palm du margouillat,,,,
kà̰k.fɔ̌d,chef,,de village,,
ká.kôt,poignée,,,,
kàkúdò,cinq,,,,
kà.mɔ́d,aigle,,,,
kán,interdit alimentaire,,,,
kân,courge,,,,
kànɛ́,comment,,,,
kà.nɩ́,but,,,,
kà.pá̰,concession,,,,
kà.pǎt,plante,,,,
kà.pɛ̂t,sauterelle,,,,
kà.pɩ̌n,mouvette,,,,
kà.pù.ɲǔŋɛ,épaule,,,,
ká.sǎ,jambe,,,,
kà.sɩ́,guerre,,,,
kà.sɩ̌n,plante,,,,
ká.tɩ̌,faim,,,,
kát,grelot en métal,,,,
kàt,habiter,,,,
kǎt,convertir,,,,
kàt,"commander, diriger, tourner",,,,
kât,transformation,,,,
kǎt,partir,,,,
ká.tɩ̌,manche de la daba,,,,
kát.ɲǐ,ami,,,,
kà.tɔ̌,dos,,,,
ká.yʋ̂,critiquer,,,,
ká.yʋ̂,critique,,,,
kà.zǒt,louche,,,,
ké,Déic,,,,
kéd,"bras, main",,,,
kěd,goutter,,,,
ké.yí.tá̰,main habile,,,,
kɛ́,dix,,,,
kɛ̰̌,gémir,,,,
kɛ̰̌g,"branche d'arbre, gésier",,,,
kɛ̰̀.gǒt,caméléon,,,,
kɛ̰̀.jò,gorge,,,,
kɛ̌t,champ,,,,
kɩ́d,tirer,,,,
kɩ́d,ciel,,,,
kɩ̀.dɩ̌g,générosité,,,,
kɩ́t,pronom tonique,,,,
kɩ̌t,trébucher,,,,
kó,finalement,,,,
kǒ,tousser,,,,
kǒ,taper dans les mains,,,,
kǒ,coton,,,,
kǒd,mort,,,,
kǒdbi.kǎ̰k,village des ancêtres,,,,
kót,puiser,,,,
kòt,"s'amuser, danser",,,,
kòt,clouer,,,,
kǒt,rester,,,,
kòt.jɩ̌t,route de la sève,,,,
kò.tǒ,singe,,,,
kòt.pá̰,"pigeon, tourterelle",,,,
kò.tò.pɔ́d,singe,,,,
kò.tù.nɩ́.kǒ,anarcade du singe,,,,
kɔ́,"murmurer, pleurer, grogner",,,,
kɔ̌,"finir, mourir",,,,
kɔ̰̌,couper,,,,
kɔ̰̌,aboyer,,,,
kɔ̰̂d,égorger,,,,
kɔ̰̌g,arracher,,,,
kɔ̌n,perle,,,,
kɔ̀t,V,,,,
kɔ̌t,héritage,,,,
kɔ̌t,"cuvette		en	bois, pirogue, écorce",,,,
kɔ̌t,chasser,,,,
kɔ́.tɔ̰̌,varan de terre,,,,
kú,chemin,,,,
kù,colle,,,,
kû,chose,,,,
kǔ,"coutume, escabot",,,,
kǔ,supporter,,,,
kú.bǒn,fruit de Lagenaria siceraria,,,,
kú.cɛ̌,N  bonté,,,,
kǔd,ramasser,,,,
kǔda.fǒd,chef coutumir,,,,
kú.lún,manquer,,,,
kǔn,tortue,,,,
kǔn,nombril,,,,
kúnkó,problème,,,,
kǔt,plier,,,,
kú.tɩ̌t,Lagenaria siceraria,,,,
kù.tù.pǒ,argile,,,,
kʋ́,croquer,,,,
kʋ̀d,raser,,,,
kʋ́d,crier,,,,
lá,Particule énonciative,,,,
lá,temps,,,,
lâ,grossesse,,,,
lá.cǎd,belle-mère,,,,
lád,oncle maternel,,,,
là.fɔ̌d,beaux parents,,,,
làk,se retourner,,,,
lǎk,éplucher,,,,
lǎk,abandonner,,,,
lâ̰d,papillon,,,,
làmɔ́ɣɔ́yá,fraternité,,,,
là.pǒt,belle-fille,,,,
lát,rôle,,,,
là.tǎ̰,richesse,,,,
là.tǔ,beau-père,,,,
láwù,se moquer,,,,
lé,", génération",,,,
lêd,s'accroupir,,,,
lêg,chatouiller,,,,
lén,intestin,,,,
lɛ́,cacher,,,,
lɛ̀,vieillir,,,,
lɛ̌,vieux,,,,
lɛ̌,manger,,,,
lɛ̀t,planer,,,,
líd,éloigner,,,,
lǐd,libellule,,,,
lɩ́,pronom anaphorique,,,,
lɩ́t,pronom tonique,,,,
lǒg,"écouter, entendu",,,,
lǒga.kò.tǔt,hipopotame,,,,
lò.wǔd,versement d'eau,,,,
lɔ̌,prendre,,,,
lɔ̌,"marigot, rivière",,,,
lɔ̌,eau,,,,
lɔ̀g.zǒt,chasseur,,,,
lû,colère,,,,
lù.gâd,grenouille,,,,
lù.sě,génie d'eau,,,,
lʋ̌,noix de karité,,,,
lʋ̌g,monter,,,,
lʋ̀.tɩ́,karité,,,,
má,Particule énonciative,,,,
má̰,aussi,,,,
mǎ,s'étourdir,,,,
mǎd,s'évanouir,,,,
mà̰.dé.tɩ́,papaye,,,,
màk.cé,Existentiel,,,,
mà.sá.cǔ,À perte de vue,,,,
má.sɛ́,aiguille,,,,
mât,se coller à,,,,
màt.fá,fusil,,,,
mə̌,"pois sucré, souchet",,,,
mɛ́,négation,,,,
mɛ̂,"voix, cri",,,,
mɛ̌,corde,,,,
mɛ̌,nom,,,,
mɛ̌ga.sɩ́,prénom,,,,
mɛ́.jǔ,parole,,,,
mɛ̰́k,conte,,,,
mɛ̰́k.gét,devinette,,,,
mí,et,,,,
mîk,hameçon,,,,
mɩ̀,allumer,,,,
mɔ̰́,Prn,,,,
mɔ̌,riz,,,,
mɔ̰̀d,sourire,,,,
mɔ̂n,"durer, prendre du temps",,,,
mɔ̌t,fermer superficiellement,,,,
mù,aussi,,,,
mù.cɔ̂,soeur aînée,,,,
mṵ̀.kǒt,joue,,,,
mú.tá̰,plaisir,,,,
nà,relateur,,,,
nà̰,queue,,,,
nǎ,feu,,,,
nǎ,crème,,,,
nǎ̰,"Solenostermon rotundifolius, fabirama",,,,
nàd,s'étirer,,,,
nâd,scorpion,,,,
nà.fá̰.bɩ̀.kɩ̌,construction,,,,
nà.jêt,fesse,,,,
nà̰.jɛ́t,plante,,,,
nà̰.jǐ,jeune,,,,
nà̰.jɔ̌t,fainéant,,,,
